time,open,high,low,close
1713757500,2944.9,2949.6,2939,2941.15
1713757800,2940.15,2945,2937.65,2940.2
1713758100,2940.8,2944.45,2937.55,2938.15
1713758400,2938.2,2942.35,2937.1,2939.7
1713758700,2939.65,2945,2939.65,2942.9
1713759000,2942.75,2946.6,2936.9,2938.65
1713759300,2938.55,2944,2938,2940.45
1713759600,2940.15,2944.7,2939.25,2942.45
1713759900,2942.25,2945,2941.25,2942.15
1713760200,2942.1,2943.7,2940.9,2943.55
1713760500,2943,2950,2943,2947.8
1713760800,2947.85,2948.05,2942,2947.1
1713761100,2947.25,2952.75,2945.6,2950
1713761400,2949.75,2950.1,2944,2947.1
1713761700,2946.7,2948.4,2944.25,2946.7
1713762000,2946.5,2951,2946.15,2947.65
1713762300,2947,2950,2947,2950
1713762600,2949.3,2952.75,2949,2952.75
1713762900,2952.7,2954,2950.85,2953
1713763200,2952.95,2956.45,2950.75,2954.85
1713763500,2955,2956.85,2952.95,2956.65
1713763800,2956.85,2960,2954.35,2959.8
1713764100,2959.4,2961.55,2953.4,2956
1713764400,2956.5,2957.55,2953,2955
1713764700,2954.95,2957,2951,2956.85
1713765000,2956.4,2962,2955,2962
1713765300,2961.05,2962,2959.9,2960.05
1713765600,2960,2963,2956.35,2958
1713765900,2957.7,2958,2956,2956.9
1713766200,2956.1,2957,2953.4,2954.55
1713766500,2954.7,2959.45,2952.9,2959.45
1713766800,2959,2959.45,2954,2955.2
1713767100,2955.4,2956.45,2954.65,2955.2
1713767400,2955.45,2955.7,2952.1,2954.25
1713767700,2953.75,2954.1,2950.3,2950.55
1713768000,2950.45,2952.7,2948,2948.85
1713768300,2948.95,2951.8,2946.35,2948.3
1713768600,2948,2951.45,2948,2949.85
1713768900,2949.95,2950.5,2947.25,2948.35
1713769200,2948,2950,2947.15,2949.5
1713769500,2949.65,2953,2949.05,2952.5
1713769800,2952.9,2952.9,2948.05,2950
1713770100,2950.7,2950.7,2948,2948.8
1713770400,2948,2948.9,2945.1,2946
1713770700,2946.1,2946.2,2943.05,2944
1713771000,2944.4,2947.95,2940.05,2947.6
1713771300,2947.95,2949.65,2945.4,2947.25
